scene_idx,tension_level,stakes_level,irreversibility_level,uncertainty_level,narrative_velocity,dependency_on_prior_scenes,resolution_progress,major_turning_point
0,1,1,1,1,1,1,0,False
1,4,3,4,4,5,1,5,False
2,5,5,3,5,5,2,3,False
3,5,5,4,5,4,3,2,False
4,5,5,4,4,4,4,3,False
5,5,5,5,5,4,4,4,False
6,4,4,2,4,3,4,2,False
7,5,5,4,4,5,4,2,False
8,5,5,2,5,4,4,3,False
9,2,2,1,2,2,4,1,False
10,5,5,4,4,5,4,3,False
11,4,4,3,4,5,4,4,False
12,5,5,5,5,5,4,3,True
13,4,4,2,4,3,4,2,False
14,4,4,2,5,2,4,1,False
15,5,4,3,4,3,5,1,False
16,4,5,3,4,5,4,3,True
17,3,2,1,4,1,4,1,False
18,5,4,4,4,3,4,2,False
19,5,5,4,5,3,5,2,True
20,5,4,4,4,4,5,3,False
21,1,2,1,1,1,4,1,False
22,2,3,1,2,2,4,1,False
23,4,4,2,5,2,4,1,False
24,4,4,2,5,4,5,2,False
25,4,4,3,4,2,5,2,False
26,2,3,2,2,2,4,1,False
27,4,4,2,5,2,5,2,False
28,4,4,4,2,3,5,3,False
29,4,5,3,4,3,5,4,True
30,5,5,4,3,4,4,6,True
31,3,4,2,3,3,4,7,False
32,4,5,4,2,3,5,8,False
33,5,5,4,5,3,5,9,False
34,5,5,4,4,4,5,6,False
35,4,4,3,4,4,5,7,False
36,5,5,4,4,5,5,8,True
37,2,3,1,3,2,5,4,False
38,1,1,2,1,1,5,1,False
39,1,1,1,2,1,5,1,False
40,3,4,3,4,2,5,2,False
41,5,5,5,3,4,5,7,True
42,5,4,4,5,2,5,6,False
43,5,5,4,4,3,5,7,False
44,5,5,4,3,4,5,8,True
45,4,4,5,3,4,5,9,False
46,2,5,4,3,2,5,10,False
47,4,5,4,3,2,5,11,False
48,3,4,5,1,2,5,100,False
