script,cluster
01-BEST-SELLER_FEATURE_Matisse-Haddad,0
02-EQUITY-Ward-Kamel,1
03-RUSH-by-Cassidy-Alla-and-Read-Masino,0
08-LEVERAGE-Joe-Ferran,0
09-UNT-EROTIC-FAN-FICTION-MOVIE-Morgan-Lehmann,1
"1 30 Train_Ron Bass, Jen Smolka_Film______",1
"10 Cloverfield Lane_Josh Campbell, Matt Stuecken_Film____FKA -  The Cellar __",3
"10 Cloverfield Lane_Josh Campbell, Matt Stuecken_Film____FKA -  The Cellar __1",3
10 Things I Hate About Life_Gil Junger_Film_1 7 2013_____,3
"10 Things I Hate About You_Karen McCullah Lutz, Kirsten Smith_Film_11 12 1997_____",0
10-ALPHA-Halil-Ozsan,1
10-ANGELS-Final,0
100 Feet_Eric Red_Film______,3
1001-FEATS-Paul-Biery,2
10A-10B_Floyd Byars_Film______,1
11-WEST-COAST-LIVING-Sam-Lifshutz,3
12 and Holding_Anthony Cipriano_Film_4 6 2004_____,3
"12 Strong_Ted Tally, Peter Craig_Film_9 2 2016__Revised Draft_FKA -  Horse Soldiers __",3
12 YEARS A SLAVE (2013) - 2011.05.18 draft by John Ridley and Steve McQueen.Conflict,3
12 YEARS A SLAVE (2013) - undated final draft by John Ridley and Steve McQueen ,0
12 Years a Slave_John Ridley_Film___FYC___,0
12 Years a Slave_John Ridley_Film___FYC___1,0
12-ET-AL-Paul-Levitt,2
"127 Hours_Danny Boyle, Simon Beaufoy_Film_4 10 2010_____",0
"127 Hours_Danny Boyle, Simon Beaufoy_Film______",0
13 13 13_James Cullen Bressack_Film_5 15 2013_____,3
13 Years Later_Erica Schreiber_Film______,3
13-Ben-Magid,3
"13_Gela Babluani, Gregory Pruss_Film_5 1 2007_____",2
13_Gela Babluani_Film_11 19 2008_____,2
14-INCIDENTS_William-Gillies_2025,3
1440-MINS-Amitabh-Klemm,0
1492  Conquest of Paradise_Roselyn Bosch_Film_9 23 1991_____,1
15 Minutes_Unlisted_Film______,3
15-RIDING-HURT-Buck-Bloomingdale,1
17 Again_Jason Filardi_Film_10 5 2007_____,2
17 Bridges_Adam Mervis_Film_4 21 2016_____,2
17-WILD-PALMS-Ellis-Bahl-David-Helman,2
1760655322557_CapedWonder_PUZO_SUPERMAN_2nd_DRAFT_OCT_01_1975,2
1760656092697_A Watched Man,3
1760656093252_Besties,2
1760656093822_Buck Off,3
1760656096014_Couple Up,0
1760656096689_Dakar,0
1760656097304_Diaspora,2
1760656097917_Drum,0
1760656098531_Empire,3
1760656099097_Exposure,1
1760656099760_Embassy,0
1760656100334_Frankenstein With Benefits,0
1760656100990_It Has Us,0
"1760656101513_Kappa, The",0
1760656102043_Last One Alive,3
1760656102831_Medusa,0
1760656103754_Leverage,2
"1760656104328_Lost Boy, The ",3
1760656105061_Miami P.I.,3
1760656105587_Mobilized,3
1760656108322_Sparks,1
1760656108847_Wendy,1
1760656109456_Smoke on the Water,0
1760656110638_White Knight,3
1760656111331_Worthless Remains,3
1760656201623_Black Metallic,1
1760656203310_Death Trap,3
1760656204209_Dark Roast,0
"1760656204959_Endorsement, The",3
1760656205502_Fortress,3
